"","x"
"1",87695
"2",86890
"3",96442
"4",98133
"5",113615
"6",123924
"7",128924
"8",134775
"9",117357
"10",114626
"11",107677
"12",108087
"13",92188
"14",88591
"15",98683
"16",99207
"17",125485
"18",124677
"19",132543
"20",140735
"21",124008
"22",121194
"23",111634
"24",111565
"25",101007
"26",94228
"27",104255
"28",106922
"29",130621
"30",125251
"31",140318
"32",146174
"33",122318
"34",128770
"35",117518
"36",115492
"37",108497
"38",100482
"39",106140
"40",118581
"41",132371
"42",132042
"43",151938
"44",150997
"45",130931
"46",137018
"47",121271
"48",123548
"49",109894
"50",106061
"51",112539
"52",125745
"53",136251
"54",140892
"55",158390
"56",148314
"57",144148
"58",140138
"59",124075
"60",136485
"61",109895
"62",109044
"63",122499
"64",124264
"65",142296
"66",150693
"67",163331
"68",165837
"69",151731
"70",142491
"71",140229
"72",140463
"73",116963
"74",118049
"75",137869
"76",127392
"77",154166
"78",160227
"79",165869
"80",173522
"81",155828
"82",153771
"83",143963
"84",143898
"85",124046
"86",121260
"87",138870
"88",129782
"89",162312
"90",167211
"91",172897
"92",189689
"93",166496
"94",160754
"95",155582
"96",145936
"97",139625
"98",137361
"99",138963
"100",155301
"101",172026
"102",165004
"103",185861
"104",190270
"105",163903
"106",174270
"107",160272
"108",165614
"109",146182
"110",137728
"111",148932
"112",156751
"113",177998
"114",174559
"115",198079
"116",189073
"117",175702
"118",180097
"119",155202
"120",174508
"121",154277
"122",144998
"123",159644
"124",168646
"125",166273
"126",190176
"127",205541
"128",193657
"129",182617
"130",189614
"131",174176
"132",184416
"133",158167
"134",156261
"135",176353
"136",175720
"137",193939
"138",201269
"139",218960
"140",209861
"141",198688
"142",190474
"143",194502
"144",190755
"145",166286
"146",170699
"147",181468
"148",174241
"149",210802
"150",212262
"151",218099
"152",229001
"153",203200
"154",212557
"155",197095
"156",193693
"157",188992
"158",175347
"159",196265
"160",203526
"161",227443
"162",233038
"163",234119
"164",255133
"165",216478
"166",232868
"167",221616
"168",209893
"169",194784
"170",189756
"171",193522
"172",212870
"173",248565
"174",221532
"175",252642
"176",255007
"177",206826
"178",233231
"179",212678
"180",217173
"181",199024
"182",191813
"183",195997
"184",208684
"185",244113
"186",243108
"187",255918
"188",244642
"189",237579
"190",237579
"191",217775
"192",227621
