"","x"
"1",38
"2",44
"3",53
"4",49
"5",54
"6",57
"7",51
"8",58
"9",48
"10",44
"11",42
"12",37
"13",42
"14",43
"15",53
"16",49
"17",49
"18",40
"19",40
"20",36
"21",29
"22",31
"23",26
"24",23
"25",29
"26",32
"27",41
"28",44
"29",49
"30",47
"31",46
"32",47
"33",43
"34",45
"35",34
"36",31
"37",35
"38",43
"39",46
"40",46
"41",43
"42",41
"43",44
"44",47
"45",41
"46",40
"47",32
"48",32
"49",34
"50",40
"51",43
"52",42
"53",43
"54",44
"55",39
"56",40
"57",33
"58",32
"59",31
"60",28
"61",34
"62",29
"63",36
"64",42
"65",43
"66",44
"67",44
"68",48
"69",45
"70",44
"71",40
"72",37
"73",45
"74",49
"75",62
"76",62
"77",58
"78",59
"79",64
"80",62
"81",50
"82",52
"83",50
"84",44
"85",51
"86",56
"87",60
"88",65
"89",64
"90",63
"91",63
"92",72
"93",61
"94",65
"95",51
"96",47
"97",54
"98",58
"99",66
"100",63
"101",64
"102",60
"103",53
"104",52
"105",44
"106",40
"107",36
"108",28
"109",36
"110",42
"111",53
"112",53
"113",55
"114",48
"115",47
"116",43
"117",39
"118",33
"119",30
"120",23
"121",29
"122",33
"123",44
"124",54
"125",56
"126",51
"127",51
"128",53
"129",45
"130",45
"131",44
"132",38
