"","x"
"1",742
"2",741
"3",896
"4",951
"5",1030
"6",697
"7",700
"8",793
"9",861
"10",1032
"11",776
"12",774
"13",885
"14",938
"15",1126
"16",898
"17",932
"18",1055
"19",1109
"20",1285
"21",1030
"22",1099
"23",1204
"24",1274
"25",1468
"26",1107
"27",1223
"28",1326
"29",1422
"30",1637
"31",1165
"32",1290
"33",1303
"34",1486
"35",1611
"36",1216
"37",1349
"38",1436
"39",1555
"40",1608
"41",1208
"42",1341
"43",1473
"44",1604
"45",1528
"46",1131
"47",1296
"48",1453
"49",1600
"50",1420
"51",971
"52",1066
"53",1170
"54",1403
"55",1119
"56",783
"57",901
"58",1023
"59",1209
"60",1013
