"","x"
"1",61
"2",48
"3",53
"4",78
"5",75
"6",58
"7",146
"8",193
"9",124
"10",120
"11",134
"12",99
"13",130
"14",166
"15",168
"16",267
"17",314
"18",432
"19",355
"20",384
"21",232
"22",235
"23",293
"24",242
"25",248
"26",236
"27",209
"28",358
"29",352
"30",406
"31",562
"32",389
"33",416
"34",493
"35",409
"36",328
"37",222
"38",195
"39",156
"40",439
"41",671
"42",874
"43",558
"44",621
"45",628
"46",652
"47",495
"48",344
"49",405
"50",586
"51",403
"52",700
"53",837
"54",1224
"55",1117
"56",1214
"57",762
"58",846
"59",1228
"60",937
"61",1396
"62",1174
"63",628
"64",1753
