"","x"
"1",2815
"2",2672
"3",2755
"4",2721
"5",2946
"6",3036
"7",2282
"8",2212
"9",2922
"10",4301
"11",5764
"12",7312
"13",2541
"14",2475
"15",3031
"16",3266
"17",3776
"18",3230
"19",3028
"20",1759
"21",3595
"22",4474
"23",6838
"24",8357
"25",3113
"26",3006
"27",4047
"28",3523
"29",3937
"30",3986
"31",3260
"32",1573
"33",3528
"34",5211
"35",7614
"36",9254
"37",5375
"38",3088
"39",3718
"40",4514
"41",4520
"42",4539
"43",3663
"44",1643
"45",4739
"46",5428
"47",8314
"48",10651
"49",3633
"50",4292
"51",4154
"52",4121
"53",4647
"54",4753
"55",3965
"56",1723
"57",5048
"58",6922
"59",9858
"60",11331
"61",4016
"62",3957
"63",4510
"64",4276
"65",4968
"66",4677
"67",3523
"68",1821
"69",5222
"70",6872
"71",10803
"72",13916
"73",2639
"74",2899
"75",3370
"76",3740
"77",2927
"78",3986
"79",4217
"80",1738
"81",5221
"82",6424
"83",9842
"84",13076
"85",3934
"86",3162
"87",4286
"88",4676
"89",5010
"90",4874
"91",4633
"92",1659
"93",5951
"94",6981
"95",9851
"96",12670
"97",4348
"98",3564
"99",4577
"100",4788
"101",4618
"102",5312
"103",4298
"104",1413
"105",5877
