"","x"
"1",13423.2
"2",13128.8
"3",15398.8
"4",12964.2
"5",13133.5
"6",13271.7
"7",15596.3
"8",13018
"9",13409.3
"10",13304.2
"11",15873.9
"12",13366.5
"13",13998.6
"14",14045.1
"15",16650.3
"16",13598.4
"17",14183.2
"18",14128.5
"19",16380.7
"20",13512.8
"21",14022.1
"22",14231.8
"23",16737
"24",14004.5
"25",14165.5
"26",14203.9
"27",16895.1
"28",14248.2
"29",14719.5
"30",14855.8
"31",17361.6
"32",14585.2
"33",14873.5
"34",14798.4
"35",17115.2
"36",14284.9
"37",14558.8
"38",14914.3
"39",17342.3
