"","x"
"1",53
"2",59
"3",73
"4",72
"5",62
"6",58
"7",55
"8",56
"9",52
"10",52
"11",43
"12",37
"13",43
"14",55
"15",68
"16",68
"17",64
"18",65
"19",57
"20",59
"21",54
"22",57
"23",43
"24",42
"25",52
"26",51
"27",58
"28",60
"29",61
"30",58
"31",62
"32",61
"33",49
"34",51
"35",47
"36",40
"37",45
"38",50
"39",58
"40",52
"41",50
"42",50
"43",46
"44",46
"45",38
"46",37
"47",34
"48",29
"49",30
"50",40
"51",46
"52",46
"53",47
"54",47
"55",43
"56",46
"57",37
"58",41
"59",39
"60",36
"61",48
"62",55
"63",56
"64",53
"65",52
"66",53
"67",52
"68",56
"69",51
"70",48
"71",42
"72",42
"73",44
"74",50
"75",60
"76",66
"77",58
"78",59
"79",55
"80",57
"81",57
"82",56
"83",53
"84",51
"85",45
"86",58
"87",74
"88",65
"89",65
"90",55
"91",52
"92",59
"93",54
"94",57
"95",45
"96",40
"97",47
"98",47
"99",60
"100",58
"101",63
"102",64
"103",64
"104",63
"105",55
"106",54
"107",44
