"","Chemicals","Coal","Petrol","Vehicles"
"1",3.896,49.78,2.154,4.367
"2",4.346,47.029,2.25,5.147
"3",4.318,56.92,2.165,5.418
"4",4.536,54.336,2.223,4.897
"5",4.454,50.442,2.19,5.002
"6",4.554,49.298,2.288,5.329
"7",4.058,39.537,2.25,3.537
"8",4.342,56.185,2.251,3.94
"9",4.693,54.449,2.281,5.226
"10",4.389,11.857,2.32,5.429
"11",4.289,26.327,2.285,5.4
"12",3.997,56.032,2.279,4.446
"13",4.353,49.68,2.319,5.072
"14",4.609,49.112,2.396,5.707
"15",4.794,54.438,2.397,5.76
"16",4.975,49.814,2.462,5.807
"17",4.859,52.879,2.368,5.865
"18",5.027,50.083,2.505,5.909
"19",4.382,40.964,2.49,3.681
"20",4.798,52.169,2.553,3.895
"21",5.076,49.374,2.611,6.247
"22",4.979,51.671,2.528,6.629
"23",4.845,50.297,2.618,6.67
"24",4.74,44.904,2.685,5.52
"25",4.885,49.379,2.649,6.71
"26",5.579,45.893,2.723,7.134
"27",5.741,50.547,2.675,7.097
"28",5.91,46.999,2.723,6.741
"29",5.784,51.42,2.781,7.006
"30",5.962,46.613,2.953,7.169
"31",5.152,43.801,2.919,5.419
"32",5.536,55.874,3.017,4.667
"33",5.769,48.338,3.121,6.227
"34",5.643,54.38,3.135,7.314
"35",5.61,49.825,3.425,6.928
"36",5.463,48.668,3.694,4.866
"37",5.685,53.53,3.742,5.611
"38",6.452,49.851,4.173,5.762
"39",6.729,51.027,4.374,5.638
"40",7.094,54.181,4.499,5.891
"41",6.987,57.448,4.725,6.229
"42",7.158,47.884,4.983,6.485
"43",6.58,49.206,5.068,5.169
"44",7.026,51.604,5.104,5.236
"45",7.556,52.472,5.056,6.921
"46",7.201,60.293,5.042,7.703
"47",6.791,33.524,5.116,6.985
"48",6.118,39.98,4.97,4.49
"49",6.702,55.167,5.108,4.816
"50",7.376,51.808,5.266,5.254
"51",7.609,52.603,5.166,5.589
"52",7.829,53.776,5.294,6.004
"53",7.558,55.921,5.313,6.037
"54",7.62,56.786,5.749,6.439
"55",6.923,45.96,5.825,4.82
"56",7.607,51.76,6.317,5.18
"57",8.003,56.066,6.213,6.589
"58",7.838,60.396,6.281,6.886
"59",7.375,53.976,6.426,6.531
"60",7.282,54.819,6.526,5.888
"61",7.615,52.568,6.441,6.765
"62",8.53,53.773,6.757,7.675
"63",9.107,60.918,6.422,8.295
"64",9.358,59.145,6.647,8.194
"65",8.882,57.934,6.534,8.256
"66",9.011,59.68,6.925,9.056
"67",8.003,44.318,6.957,6.573
"68",8.621,53.622,7.057,7.162
"69",9.324,60.634,7.054,7.978
"70",8.9,58.999,7.044,8.005
"71",8.65,58.78,7.087,9.185
"72",8.141,58.414,7.422,8.236
"73",8.314,44.679,7.676,8.726
"74",9.509,49.26,7.871,9.364
"75",10.264,66.776,7.608,10.777
"76",10.105,60.549,7.755,10.081
"77",9.844,62.499,7.757,10.112
"78",9.93,63.095,7.964,11.035
"79",8.669,49.584,8.087,8.554
"80",9.465,57.751,8.083,7.826
"81",10.055,69.51,8.077,10.229
"82",9.4,67.66,8.295,11.419
"83",9.175,68.979,8.137,10.501
"84",9.161,31.002,8.346,9.134
"85",9.366,23.115,8.005,9.07
"86",10.309,23.52,8.151,10.6
"87",11.01,38.765,8.019,11.641
"88",11.434,59.53,8.207,11.92
"89",10.841,68.76,8.273,11.78
"90",11.161,65.565,8.721,12.035
"91",9.605,53.64,8.719,8.645
"92",10.241,64.395,8.925,9.141
"93",10.914,57.775,9.11,11.29
"94",10.704,69.86,8.899,12.987
"95",10.435,69.245,9.074,12.532
"96",10.425,59.63,9.464,10.566
"97",11.117,57.451,9.736,11.891
"98",11.701,54.525,10.32,12.956
"99",13.268,66.379,10.79,13.669
"100",12.37,63.531,10.675,11.881
"101",12.952,69.058,11.403,13.167
"102",13.059,70.287,12.041,11.738
"103",11.54,53.252,12.375,8.484
"104",11.954,71.181,13.378,7.283
"105",12.84,64.189,14.004,10.483
"106",12.429,78.07,13.881,11.644
"107",12.205,68.037,14.469,10.048
"108",12.241,60.339,15.296,8.134
"109",12.948,69.105,15.696,8.808
"110",13.641,65.18,16.522,10.054
"111",14.682,70.473,16.554,9.921
"112",13.982,69.135,16.039,8.85
"113",13.213,70.531,16.394,7.78
"114",13.338,70.83,16.693,7.856
"115",11.83,60.656,15.875,6.102
