"","x"
"1",5000
"2",4965
"3",4496
"4",4491
"5",4566
"6",4585
"7",4724
"8",4951
"9",4917
"10",4888
"11",5087
"12",5082
"13",5039
"14",5054
"15",4940
"16",4913
"17",4871
"18",4901
"19",4864
"20",4750
"21",4856
"22",4959
"23",5004
"24",5415
"25",5550
"26",5657
"27",6010
"28",6109
"29",6052
"30",6391
"31",6798
"32",6740
"33",6778
"34",7005
"35",7045
"36",7279
"37",7367
"38",6934
"39",6506
"40",6374
"41",6066
"42",6102
"43",6204
"44",6138
"45",5938
"46",5781
"47",5813
"48",5811
"49",5818
"50",5982
"51",6132
"52",6111
"53",5948
"54",6056
"55",6342
"56",6626
"57",6591
"58",6302
"59",6132
"60",5837
"61",5572
"62",5744
"63",6005
"64",6239
"65",6523
"66",6652
"67",6585
"68",6622
"69",6754
"70",6712
"71",6675
"72",6882
"73",7011
"74",7140
"75",7197
"76",7411
"77",7233
"78",6958
"79",6960
"80",6927
"81",6814
"82",6757
"83",6765
"84",6870
"85",6954
"86",6551
"87",6022
"88",5974
"89",6052
"90",6033
"91",6030
"92",5944
"93",5543
"94",5416
"95",5571
"96",5571
"97",5627
"98",5679
"99",5455
"100",5443
