"","x"
"1",260
"2",251
"3",235
"4",234
"5",287
"6",314
"7",304
"8",310
"9",272
"10",330
"11",315
"12",330
"13",327
"14",320
"15",282
"16",250
"17",285
"18",335
"19",330
"20",290
"21",285
"22",265
"23",251
"24",278
"25",347
"26",339
"27",312
"28",274
"29",285
"30",318
"31",326
"32",331
"33",335
"34",310
"35",325
"36",355
"37",391
"38",412
"39",349
"40",365
"41",399
"42",361
"43",380
"44",394
"45",368
"46",359
"47",374
"48",418
"49",429
"50",448
"51",420
"52",442
"53",457
"54",477
"55",443
"56",410
"57",399
"58",424
"59",468
"60",480
