"","x"
"1",35
"2",46
"3",51
"4",46
"5",48
"6",51
"7",46
"8",42
"9",41
"10",43
"11",61
"12",55
"13",67
"14",42
"15",61
"16",58
"17",49
"18",58
"19",43
"20",51
"21",60
"22",58
"23",46
"24",54
"25",51
"26",66
"27",64
"28",53
"29",72
"30",64
"31",54
"32",61
"33",77
"34",72
"35",67
"36",67
"37",64
"38",50
"39",83
"40",67
"41",66
"42",76
"43",79
"44",94
"45",74
"46",83
"47",70
"48",70
"49",76
"50",63
"51",78
"52",63
"53",64
"54",76
"55",82
"56",83
"57",70
"58",90
"59",82
"60",74
"61",79
"62",79
"63",77
"64",84
"65",74
