"","x"
"1",100
"2",94
"3",90
"4",96
"5",91
"6",94
"7",95
"8",99
"9",95
"10",98
"11",100
"12",97
"13",99
"14",98
"15",96
"16",98
"17",96
"18",99
"19",97
"20",98
"21",101
"22",100
"23",102
"24",110
"25",104
"26",110
"27",113
"28",112
"29",113
"30",120
"31",121
"32",118
"33",123
"34",124
"35",123
"36",129
"37",125
"38",119
"39",118
"40",120
"41",115
"42",122
"43",118
"44",120
"45",116
"46",118
"47",119
"48",118
"49",120
"50",123
"51",124
"52",123
"53",121
"54",126
"55",128
"56",124
"57",122
"58",123
"59",119
"60",120
"61",125
"62",126
"63",129
"64",132
"65",131
"66",130
"67",133
"68",134
"69",133
"70",135
"71",138
"72",137
"73",140
"74",138
"75",144
"76",135
"77",138
"78",137
"79",136
"80",136
"81",137
"82",138
"83",140
"84",139
"85",131
"86",129
"87",134
"88",133
"89",133
"90",134
"91",132
"92",126
"93",130
"94",131
"95",130
"96",133
"97",132
"98",129
"99",135
"100",136
